[Thu May 28 10:42:15 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 13:17:02 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 13:17:04 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 13:17:04 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 14:53:52 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 14:53:54 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 14:53:54 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 15:21:35 2020] [WARNING] [include] -> Use of undefined constant DB_NCSOIS - assumed 'DB_NCSOIS' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 97
[Thu May 28 15:21:35 2020] [NOTICE] [include] -> Undefined variable: hostname, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 99
[Thu May 28 15:21:35 2020] [NOTICE] [include] -> Undefined variable: username, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 100
[Thu May 28 15:21:35 2020] [NOTICE] [include] -> Undefined variable: password, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 101
[Thu May 28 15:21:35 2020] [WARNING] [include] -> Use of undefined constant DB_NCSOIS - assumed 'DB_NCSOIS' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 102
[Thu May 28 15:21:35 2020] [WARNING] [include] -> Use of undefined constant DB_NCSOIS - assumed 'DB_NCSOIS' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 97
[Thu May 28 15:21:35 2020] [NOTICE] [include] -> Undefined variable: hostname, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 99
[Thu May 28 15:21:35 2020] [NOTICE] [include] -> Undefined variable: username, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 100
[Thu May 28 15:21:35 2020] [NOTICE] [include] -> Undefined variable: password, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 101
[Thu May 28 15:21:35 2020] [WARNING] [include] -> Use of undefined constant DB_NCSOIS - assumed 'DB_NCSOIS' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 102
[Thu May 28 15:21:35 2020] [WARNING] [header] -> Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\sos\system\core\Exceptions.php:272), FILE: C:\xampp\htdocs\sos\application\controllers\Stream.php, LINE: 16
[Thu May 28 15:21:35 2020] [WARNING] [header] -> Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\sos\system\core\Exceptions.php:272), FILE: C:\xampp\htdocs\sos\application\controllers\Stream.php, LINE: 17
[Thu May 28 15:22:14 2020] [NOTICE] [include] -> Undefined variable: hostname, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 99
[Thu May 28 15:22:14 2020] [NOTICE] [include] -> Undefined variable: username, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 100
[Thu May 28 15:22:14 2020] [NOTICE] [include] -> Undefined variable: password, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 101
[Thu May 28 15:22:14 2020] [NOTICE] [include] -> Undefined variable: hostname, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 99
[Thu May 28 15:22:14 2020] [NOTICE] [include] -> Undefined variable: username, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 100
[Thu May 28 15:22:14 2020] [NOTICE] [include] -> Undefined variable: password, FILE: C:\xampp\htdocs\sos\application\config\database.php, LINE: 101
[Thu May 28 15:24:35 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 15:24:41 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 15:24:41 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
